
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
2 ,32.900,35.800,33.100,34.600,23,21,27,21,25,1 ,2,1,0,0,0,0,0,1,0,0,0,6,11,0,1
2 ,31.750,32.083,34.083,34.333,25,24,21,13,22,4 ,2,0,0,1,0,1,0,0,0,0,0,10,16,1,0
2 ,38.000,40.727,40.636,40.273,11,7,8,2,6,1 ,2,0,0,1,0,0,0,0,1,0,0,8,13,0,1
2 ,34.100,34.600,36.400,35.300,21,23,19,24,23,3 ,2,0,0,1,0,1,0,0,0,0,0,6,12,1,0
1 ,30.909,35.909,33.727,34.636,26,9,13,9,10,3 ,2,0,0,1,0,1,0,0,0,0,0,7,15,1,0
3 ,37.000,34.700,36.000,36.400,15,22,19,21,21,1 ,2,0,1,0,0,0,0,0,1,0,0,5,10,1,0
1 ,44.800,43.200,42.000,43.400,4,4,8,9,6,1 ,2,0,1,0,0,0,0,0,1,0,0,2,7,1,0
1 ,33.727,40.000,37.091,36.364,29,14,20,29,25,1 ,2,1,0,0,0,0,0,0,1,0,0,3,9,0,1
2 ,34.600,34.800,33.600,34.400,27,27,29,27,31,1 ,2,1,0,0,0,0,0,0,1,0,0,4,11,0,1
7 ,38.818,40.545,37.091,37.273,5,2,6,23,7,1 ,3,0,0,1,0,0,0,0,1,0,0,9,13,0,1
